system,colony_id,tank_id,reef_site,study_month,season,lunar_month_year,gregorian_month,Lday1_date,RO,mean_monthly_temp,colony_size,number_lunar_days
FTS,FTS_colony1,FTS_tank3,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-13,0,NA,35,30
FTS,FTS_colony1,FTS_tank3,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,0,25.8564788,31.8,30
FTS,FTS_colony1,FTS_tank3,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,496,28.18793056,38.3,29
FTS,FTS_colony1,FTS_tank3,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,640,28.1403141,40.8,30
FTS,FTS_colony1,FTS_tank3,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,638,28.36497797,39.9,29
FTS,FTS_colony1,FTS_tank3,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,9,28.41264583,41.8,30
FTS,FTS_colony1,FTS_tank3,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,7,28.36895576,40.9,29
FTS,FTS_colony1,FTS_tank3,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,863,27.93146176,32.9,30
FTS,FTS_colony1,FTS_tank3,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,259,26.00425655,19.1,29
FTS,FTS_colony1,FTS_tank3,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,133,24.39851745,17.4,30
FTS,FTS_colony1,FTS_tank3,Outlet,11,winter,Dec_2021,Jan_2022,2022-01-03,59,24.19599688,20.05,29
FTS,FTS_colony1,FTS_tank3,Outlet,12,winter,Jan_2022,Feb_2022,2022-02-01,213,24.67511549,19.8,30
FTS,FTS_colony2,FTS_tank1,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-13,0,NA,35.6,30
FTS,FTS_colony2,FTS_tank1,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,0,25.56900183,34.8,30
FTS,FTS_colony2,FTS_tank1,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,530,28.95760237,39.1,29
FTS,FTS_colony2,FTS_tank1,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,628,28.00011817,41.2,30
FTS,FTS_colony2,FTS_tank1,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,257,28.632632,40.3,29
FTS,FTS_colony2,FTS_tank1,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,0,28.66171918,39.7,30
FTS,FTS_colony2,FTS_tank1,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,8,28.63140175,41.9,29
FTS,FTS_colony2,FTS_tank1,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,819,27.83934889,38.2,30
FTS,FTS_colony2,FTS_tank1,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,183,26.07482835,26.4,29
FTS,FTS_colony2,FTS_tank1,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,1095,24.39895754,23.9,30
FTS,FTS_colony2,FTS_tank1,Outlet,11,winter,Dec_2021,Jan_2022,2022-01-03,611,24.70309094,28,29
FTS,FTS_colony2,FTS_tank1,Outlet,12,winter,Jan_2022,Feb_2022,2022-02-01,10,25.30625732,26.25,30
FTS,FTS_colony3,FTS_tank2,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-13,24,NA,32,30
FTS,FTS_colony3,FTS_tank2,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,86,25.99443238,30.5,30
FTS,FTS_colony3,FTS_tank2,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,315,28.9755211,34.5,29
FTS,FTS_colony3,FTS_tank2,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,1352,28.24826302,37,30
FTS,FTS_colony3,FTS_tank2,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,694,28.65248928,37.95,29
FTS,FTS_colony3,FTS_tank2,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,12,28.44703516,37.2,30
FTS,FTS_colony3,FTS_tank2,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,7,28.40553421,37.2,29
FTS,FTS_colony3,FTS_tank2,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,95,27.63281148,37.9,30
FTS,FTS_colony3,FTS_tank2,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,4804,25.85316747,32.1,29
FTS,FTS_colony3,FTS_tank2,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,162,24.06653288,32.5,30
FTS,FTS_colony3,FTS_tank2,Outlet,11,winter,Dec_2021,Jan_2022,2022-01-03,589,25.63845999,38.05,29
FTS,FTS_colony3,FTS_tank2,Outlet,12,winter,Jan_2022,Feb_2022,2022-02-01,0,26.48394599,40.1,30
FTS,FTS_colony4,FTS_tank2,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,235,NA,29,30
FTS,FTS_colony4,FTS_tank2,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,2031,25.99443238,30,30
FTS,FTS_colony4,FTS_tank2,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,553,28.9755211,33.1,29
FTS,FTS_colony4,FTS_tank2,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,1338,28.24826302,34,30
FTS,FTS_colony4,FTS_tank2,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,848,28.65248928,35.05,29
FTS,FTS_colony4,FTS_tank2,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,122,28.44703516,35.35,30
FTS,FTS_colony4,FTS_tank2,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.40553421,35.1,29
FTS,FTS_colony4,FTS_tank2,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,0,27.63281148,36.9,30
FTS,FTS_colony4,FTS_tank2,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,3078,25.85316747,30.2,29
FTS,FTS_colony4,FTS_tank2,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,155,24.06653288,30.8,30
FTS,FTS_colony4,FTS_tank2,Outlet,11,winter,Dec_2021,Jan_2022,2021-01-03,841,25.63845999,35.4,29
FTS,FTS_colony4,FTS_tank2,Outlet,12,winter,Jan_2022,Feb_2022,2021-02-01,139,26.48394599,34.8,30
FTS,FTS_colony5,FTS_tank3,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,102,NA,31,30
FTS,FTS_colony5,FTS_tank3,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,701,25.8564788,33.5,30
FTS,FTS_colony5,FTS_tank3,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,514,28.18793056,34.5,29
FTS,FTS_colony5,FTS_tank3,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,273,28.1403141,35.9,30
FTS,FTS_colony5,FTS_tank3,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,1440,28.36497797,37.45,29
FTS,FTS_colony5,FTS_tank3,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,33,28.41264583,36.5,30
FTS,FTS_colony5,FTS_tank3,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.36895576,36.6,29
FTS,FTS_colony5,FTS_tank3,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,399,27.93146176,38.8,30
FTS,FTS_colony5,FTS_tank3,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,3911,26.00425655,33.1,29
FTS,FTS_colony5,FTS_tank3,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,1069,24.39851745,35.4,30
FTS,FTS_colony5,FTS_tank3,Outlet,11,winter,Dec_2021,Jan_2022,2021-01-03,278,24.19599688,37.55,29
FTS,FTS_colony5,FTS_tank3,Outlet,12,winter,Jan_2022,Feb_2022,2021-02-01,897,24.67511549,37.4,30
FTS,FTS_colony6,FTS_tank1,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,24,NA,34.5,30
FTS,FTS_colony6,FTS_tank1,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,136,25.56900183,30.5,30
FTS,FTS_colony6,FTS_tank1,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,57,28.95760237,34,29
FTS,FTS_colony6,FTS_tank1,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,36,28.00011817,39.4,30
FTS,FTS_colony6,FTS_tank1,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,12,28.632632,38.7,29
FTS,FTS_colony6,FTS_tank1,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,0,28.66171918,38.7,30
FTS,FTS_colony6,FTS_tank1,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.63140175,38.6,29
FTS,FTS_colony6,FTS_tank1,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,30,27.83934889,38.5,30
FTS,FTS_colony6,FTS_tank1,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,328,26.07482835,33.2,29
FTS,FTS_colony6,FTS_tank1,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,596,24.39895754,32.9,30
FTS,FTS_colony6,FTS_tank1,Outlet,11,winter,Dec_2021,Jan_2022,2021-01-03,47,24.70309094,40,29
FTS,FTS_colony6,FTS_tank1,Outlet,12,winter,Jan_2022,Feb_2022,2021-02-01,235,25.30625732,40,30
FTS,FTS_colony7,FTS_tank3,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,0,NA,23,30
FTS,FTS_colony7,FTS_tank3,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,127,25.8564788,23,30
FTS,FTS_colony7,FTS_tank3,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,563,28.18793056,24.6,29
FTS,FTS_colony7,FTS_tank3,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,555,28.1403141,26.95,30
FTS,FTS_colony7,FTS_tank3,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,627,28.36497797,27.55,29
FTS,FTS_colony7,FTS_tank3,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,69,28.41264583,28.35,30
FTS,FTS_colony7,FTS_tank3,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.36895576,27.8,29
FTS,FTS_colony7,FTS_tank3,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,76,27.93146176,27.7,30
FTS,FTS_colony7,FTS_tank3,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,1898,26.00425655,25,29
FTS,FTS_colony7,FTS_tank3,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,98,24.39851745,25,30
FTS,FTS_colony7,FTS_tank3,Outlet,11,winter,Dec_2021,Jan_2022,2021-01-03,467,24.19599688,28.9,29
FTS,FTS_colony7,FTS_tank3,Outlet,12,winter,Jan_2022,Feb_2022,2021-02-01,196,24.67511549,28.4,30
FTS,FTS_colony8,FTS_tank3,Inlet,1,spring,Feb_2021,Mar_2021,2021-03-15,0,NA,21.5,30
FTS,FTS_colony8,FTS_tank3,Inlet,2,spring,Mar_2021,Apr_2021,2021-04-12,0,25.8564788,22.2,30
FTS,FTS_colony8,FTS_tank3,Inlet,3,spring,Apr_2021,May_2021,2021-05-12,0,28.18793056,25.9,29
FTS,FTS_colony8,FTS_tank3,Inlet,4,summer,May_2021,Jun_2021,2021-06-10,379,28.1403141,26.25,30
FTS,FTS_colony8,FTS_tank3,Inlet,5,summer,Jun_2021,Jul_2021,2021-07-10,991,28.36497797,28.4,29
FTS,FTS_colony8,FTS_tank3,Inlet,6,summer,Jul_2021,Aug_2021,2021-08-08,0,28.41264583,28.55,30
FTS,FTS_colony8,FTS_tank3,Inlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.36895576,28.6,29
FTS,FTS_colony8,FTS_tank3,Inlet,8,fall,Sep_2021,Oct_2021,2021-10-06,0,27.93146176,28.9,30
FTS,FTS_colony8,FTS_tank3,Inlet,9,fall,Oct_2021,Nov_2021,2021-11-05,26,26.00425655,25.5,29
FTS,FTS_colony8,FTS_tank3,Inlet,10,winter,Nov_2021,Dec_2021,2021-12-04,399,24.39851745,26.7,30
FTS,FTS_colony8,FTS_tank3,Inlet,11,winter,Dec_2021,Jan_2022,2021-01-03,2831,24.19599688,29,29
FTS,FTS_colony8,FTS_tank3,Inlet,12,winter,Jan_2022,Feb_2022,2021-02-01,24,24.67511549,29.6,30
FTS,FTS_colony9,FTS_tank2,Inlet,1,spring,Feb_2021,Mar_2021,2021-03-15,943,NA,28.5,30
FTS,FTS_colony9,FTS_tank2,Inlet,2,spring,Mar_2021,Apr_2021,2021-04-12,1188,25.99443238,29.5,30
FTS,FTS_colony9,FTS_tank2,Inlet,3,spring,Apr_2021,May_2021,2021-05-12,3652,28.9755211,34,29
FTS,FTS_colony9,FTS_tank2,Inlet,4,summer,May_2021,Jun_2021,2021-06-10,637,28.24826302,34.1,30
FTS,FTS_colony9,FTS_tank2,Inlet,5,summer,Jun_2021,Jul_2021,2021-07-10,742,28.65248928,34.5,29
FTS,FTS_colony9,FTS_tank2,Inlet,6,summer,Jul_2021,Aug_2021,2021-08-08,17,28.44703516,35.75,30
FTS,FTS_colony9,FTS_tank2,Inlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,28.40553421,35,29
FTS,FTS_colony9,FTS_tank2,Inlet,8,fall,Sep_2021,Oct_2021,2021-10-06,0,27.63281148,31.1,30
FTS,FTS_colony9,FTS_tank2,Inlet,9,fall,Oct_2021,Nov_2021,2021-11-05,2072,25.85316747,30.3,29
FTS,FTS_colony9,FTS_tank2,Inlet,10,winter,Nov_2021,Dec_2021,2021-12-04,451,24.06653288,30.3,30
FTS,FTS_colony9,FTS_tank2,Inlet,11,winter,Dec_2021,Jan_2022,2021-01-03,675,25.63845999,36.25,29
FTS,FTS_colony9,FTS_tank2,Inlet,12,winter,Jan_2022,Feb_2022,2021-02-01,36,26.48394599,35.3,30
FTS,FTS_colony10,FTS_tank2,Inlet,1,spring,Feb_2021,Mar_2021,2021-03-15,0,NA,21.5,30
FTS,FTS_colony10,FTS_tank2,Inlet,2,spring,Mar_2021,Apr_2021,2021-04-12,10,25.99443238,23.5,30
FTS,FTS_colony10,FTS_tank2,Inlet,3,spring,Apr_2021,May_2021,2021-05-12,5,28.9755211,24.4,29
FTS,FTS_colony10,FTS_tank2,Inlet,4,summer,May_2021,Jun_2021,2021-06-10,30,28.24826302,26.7,30
FTS,FTS_colony10,FTS_tank2,Inlet,5,summer,Jun_2021,Jul_2021,2021-07-10,25,28.65248928,27.17,29
FTS,FTS_colony10,FTS_tank2,Inlet,6,summer,Jul_2021,Aug_2021,2021-08-08,0,28.44703516,27.9,30
FTS,FTS_colony10,FTS_tank2,Inlet,7,fall,Aug_2021,Sep_2021,2021-09-07,22,28.40553421,27.9,29
FTS,FTS_colony10,FTS_tank2,Inlet,8,fall,Sep_2021,Oct_2021,2021-10-06,0,27.63281148,29.3,30
FTS,FTS_colony10,FTS_tank2,Inlet,9,fall,Oct_2021,Nov_2021,2021-11-05,1592,25.85316747,24.8,29
FTS,FTS_colony10,FTS_tank2,Inlet,10,winter,Nov_2021,Dec_2021,2021-12-04,97,24.06653288,24.8,30
FTS,FTS_colony10,FTS_tank2,Inlet,11,winter,Dec_2021,Jan_2022,2021-01-03,962,25.63845999,29.4,29
FTS,FTS_colony10,FTS_tank2,Inlet,12,winter,Jan_2022,Feb_2022,2021-02-01,106,26.48394599,29.9,30
FTS,FTS_colony11,FTS_tank1,Inlet,1,spring,Feb_2021,Mar_2021,2021-03-15,99,NA,30,30
FTS,FTS_colony11,FTS_tank1,Inlet,2,spring,Mar_2021,Apr_2021,2021-04-12,124,25.56900183,34,30
FTS,FTS_colony11,FTS_tank1,Inlet,3,spring,Apr_2021,May_2021,2021-05-12,640,28.95760237,35.7,29
FTS,FTS_colony11,FTS_tank1,Inlet,4,summer,May_2021,Jun_2021,2021-06-10,460,28.00011817,37.1,30
FTS,FTS_colony11,FTS_tank1,Inlet,5,summer,Jun_2021,Jul_2021,2021-07-10,613,28.632632,36.3,29
FTS,FTS_colony11,FTS_tank1,Inlet,6,summer,Jul_2021,Aug_2021,2021-08-08,0,28.66171918,35.4,30
FTS,FTS_colony11,FTS_tank1,Inlet,7,fall,Aug_2021,Sep_2021,2021-09-07,590,28.63140175,35.2,29
FTS,FTS_colony11,FTS_tank1,Inlet,8,fall,Sep_2021,Oct_2021,2021-10-06,105,27.83934889,32.4,30
FTS,FTS_colony11,FTS_tank1,Inlet,9,fall,Oct_2021,Nov_2021,2021-11-05,884,26.07482835,28.6,29
FTS,FTS_colony11,FTS_tank1,Inlet,10,winter,Nov_2021,Dec_2021,2021-12-04,379,24.39895754,28,30
FTS,FTS_colony11,FTS_tank1,Inlet,11,winter,Dec_2021,Jan_2022,2021-01-03,353,24.70309094,34,29
FTS,FTS_colony11,FTS_tank1,Inlet,12,winter,Jan_2022,Feb_2022,2021-02-01,76,25.30625732,32.7,30
FTS,FTS_colony12,FTS_tank1,Inlet,1,spring,Feb_2021,Mar_2021,3021-03-15,0,NA,18,30
FTS,FTS_colony12,FTS_tank1,Inlet,2,spring,Mar_2021,Apr_2021,2021-04-12,0,25.56900183,21.5,30
FTS,FTS_colony12,FTS_tank1,Inlet,3,spring,Apr_2021,May_2021,2021-05-12,0,28.95760237,21.7,29
FTS,FTS_colony12,FTS_tank1,Inlet,4,summer,May_2021,Jun_2021,2021-06-10,5,28.00011817,23.05,30
FTS,FTS_colony12,FTS_tank1,Inlet,5,summer,Jun_2021,Jul_2021,2021-07-10,0,28.632632,22,29
FTS,FTS_colony12,FTS_tank1,Inlet,6,summer,Jul_2021,Aug_2021,2021-08-08,511,28.66171918,22.7,30
FTS,FTS_colony12,FTS_tank1,Inlet,7,fall,Aug_2021,Sep_2021,2021-09-07,5,28.63140175,22.5,29
FTS,FTS_colony12,FTS_tank1,Inlet,8,fall,Sep_2021,Oct_2021,2021-10-06,14,27.83934889,23.05,30
FTS,FTS_colony12,FTS_tank1,Inlet,9,fall,Oct_2021,Nov_2021,2021-11-05,594,26.07482835,19.3,29
FTS,FTS_colony12,FTS_tank1,Inlet,10,winter,Nov_2021,Dec_2021,2021-12-04,535,24.39895754,18.9,30
FTS,FTS_colony12,FTS_tank1,Inlet,11,winter,Dec_2021,Jan_2022,2021-01-03,826,24.70309094,21.3,29
FTS,FTS_colony12,FTS_tank1,Inlet,12,winter,Jan_2022,Feb_2022,2021-02-01,31,25.30625732,22.3,30
RAS,RAS_colony1,RAS_tank3,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,8,NA,NA,30
RAS,RAS_colony1,RAS_tank3,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,0,27.97767442,31.9,30
RAS,RAS_colony1,RAS_tank3,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,53,28.24802276,34.5,29
RAS,RAS_colony1,RAS_tank3,Outlet,4,summer,May_2021,Jun_2021,2021-06-10,6687,27.78829056,31.8,30
RAS,RAS_colony1,RAS_tank3,Outlet,5,summer,Jun_2021,Jul_2021,2021-07-10,6,27.65029514,28.5,29
RAS,RAS_colony1,RAS_tank3,Outlet,6,summer,Jul_2021,Aug_2021,2021-08-08,59,27.1815749,28.7,30
RAS,RAS_colony1,RAS_tank3,Outlet,7,fall,Aug_2021,Sep_2021,2021-09-07,0,27.0907256,29,29
RAS,RAS_colony1,RAS_tank3,Outlet,8,fall,Sep_2021,Oct_2021,2021-10-06,485,26.98055983,NA,30
RAS,RAS_colony1,RAS_tank3,Outlet,9,fall,Oct_2021,Nov_2021,2021-11-05,203,27.07662917,29.7,29
RAS,RAS_colony1,RAS_tank3,Outlet,10,winter,Nov_2021,Dec_2021,2021-12-04,280,26.99853662,30.2,30
RAS,RAS_colony1,RAS_tank3,Outlet,11,winter,Dec_2021,Jan_2022,2021-01-03,23,27.82477611,35.9,29
RAS,RAS_colony1,RAS_tank3,Outlet,12,winter,Jan_2022,Feb_2022,2021-02-01,613,28.01121111,30,30
RAS,RAS_colony2,RAS_tank3,Outlet,1,spring,Feb_2021,Mar_2021,2021-03-15,201,NA,NA,30
RAS,RAS_colony2,RAS_tank3,Outlet,2,spring,Mar_2021,Apr_2021,2021-04-12,1451,27.97767442,23.2,30
RAS,RAS_colony2,RAS_tank3,Outlet,3,spring,Apr_2021,May_2021,2021-05-12,29,28.24802276,25.2,29
